TaxType,State,Deduction,RangeMin,RangeMax,RangeTax,LocalTax,Tax
,,,,,,04107,0.00%
,,,,,,04108,0.00%
,,,,,,04109,0.00%
,,,,,,04110,0.00%
,,,,,,05401,0.00%
,,,,,,05403,0.00%
,,,,,,05404,0.00%
,,,,,,05408,0.00%
,,,,,,05446,0.00%
,,,,,,05452,0.00%
,,,,,,05461,0.00%
,,,,,,05482,0.00%
,,,,,,05495,0.00%
,,,,,,06001,0.00%
,,,,,,06002,0.00%
,,,,,,06010,0.00%
,,,,,,06013,0.00%
,,,,,,06016,0.00%
,,,,,,06019,0.00%
,,,,,,06023,0.00%
,,,,,,06026,0.00%
,,,,,,06029,0.00%
,,,,,,06032,0.00%
,,,,,,06033,0.00%
,,,,,,06035,0.00%
,,,,,,06037,0.00%
,,,,,,06040,0.00%
,,,,,,06042,0.00%
,,,,,,06043,0.00%
,,,,,,06051,0.00%
,,,,,,06052,0.00%
,,,,,,06053,0.00%
,,,,,,06057,0.00%
,,,,,,06062,0.00%
,,,,,,06063,0.00%
,,,,,,06066,0.00%
,,,,,,06067,0.00%
,,,,,,06070,0.00%
,,,,,,06071,0.00%
,,,,,,06073,0.00%
,,,,,,06074,0.00%
,,,,,,06078,0.00%
,,,,,,06081,0.00%
,,,,,,06082,0.00%
,,,,,,06085,0.00%
,,,,,,06088,0.00%
,,,,,,06089,0.00%
,,,,,,06090,0.00%
,,,,,,06092,0.00%
,,,,,,06093,0.00%
,,,,,,06095,0.00%
,,,,,,06096,0.00%
,,,,,,06105,0.00%
,,,,,,06106,0.00%
,,,,,,06107,0.00%
,,,,,,06108,0.00%
,,,,,,06109,0.00%
,,,,,,06110,0.00%
,,,,,,06111,0.00%
,,,,,,06112,0.00%
,,,,,,06114,0.00%
,,,,,,06117,0.00%
,,,,,,06118,0.00%
,,,,,,06119,0.00%
,,,,,,06120,0.00%
,,,,,,06410,0.00%
,,,,,,06416,0.00%
,,,,,,06447,0.00%
,,,,,,06450,0.00%
,,,,,,06451,0.00%
,,,,,,06472,0.00%
,,,,,,06479,0.00%
,,,,,,06480,0.00%
,,,,,,06489,0.00%
,,,,,,06492,0.00%
,,,,,,06704,0.00%
,,,,,,06705,0.00%
,,,,,,06706,0.00%
,,,,,,06708,0.00%
,,,,,,06710,0.00%
,,,,,,06712,0.00%
,,,,,,06716,0.00%
,,,,,,06762,0.00%
,,,,,,06770,0.00%
,,,,,,06779,0.00%
,,,,,,06782,0.00%
,,,,,,06786,0.00%
,,,,,,06795,0.00%
,,,,,,06807,0.00%
,,,,,,06820,0.00%
,,,,,,06824,0.00%
,,,,,,06830,0.00%
,,,,,,06831,0.00%
,,,,,,06840,0.00%
,,,,,,06850,0.00%
,,,,,,06851,0.00%
,,,,,,06853,0.00%
,,,,,,06854,0.00%
,,,,,,06855,0.00%
,,,,,,06870,0.00%
,,,,,,06877,0.00%
,,,,,,06878,0.00%
,,,,,,06880,0.00%
,,,,,,06883,0.00%
,,,,,,06890,0.00%
,,,,,,06896,0.00%
,,,,,,06897,0.00%
,,,,,,06901,0.00%
,,,,,,06902,0.00%
,,,,,,06903,0.00%
,,,,,,06905,0.00%
,,,,,,06906,0.00%
,,,,,,06907,0.00%
,,,,,,07001,0.00%
,,,,,,07002,0.00%
,,,,,,07003,0.00%
,,,,,,07004,0.00%
,,,,,,07005,0.00%
,,,,,,07006,0.00%
,,,,,,07008,0.00%
,,,,,,07009,0.00%
,,,,,,07010,0.00%
,,,,,,07011,0.00%
,,,,,,07012,0.00%
,,,,,,07013,0.00%
,,,,,,07014,0.00%
,,,,,,07016,0.00%
,,,,,,07017,0.00%
,,,,,,07018,0.00%
,,,,,,07020,0.00%
,,,,,,07021,0.00%
,,,,,,07022,0.00%
,,,,,,07023,0.00%
,,,,,,07024,0.00%
,,,,,,07026,0.00%
,,,,,,07027,0.00%
,,,,,,07028,0.00%
,,,,,,07029,0.00%
,,,,,,07030,0.00%
,,,,,,07031,0.00%
,,,,,,07032,0.00%
,,,,,,07033,0.00%
,,,,,,07034,0.00%
,,,,,,07035,0.00%
,,,,,,07036,0.00%
,,,,,,07039,0.00%
,,,,,,07040,0.00%
,,,,,,07041,0.00%
,,,,,,07042,0.00%
,,,,,,07043,0.00%
,,,,,,07044,0.00%
,,,,,,07045,0.00%
,,,,,,07046,0.00%
,,,,,,07047,0.00%
,,,,,,07050,0.00%
,,,,,,07052,0.00%
,,,,,,07054,0.00%
,,,,,,07055,0.00%
,,,,,,07057,0.00%
,,,,,,07058,0.00%
,,,,,,07059,0.00%
,,,,,,07060,0.00%
,,,,,,07062,0.00%
,,,,,,07063,0.00%
,,,,,,07064,0.00%
,,,,,,07065,0.00%
,,,,,,07066,0.00%
,,,,,,07067,0.00%
,,,,,,07068,0.00%
,,,,,,07069,0.00%
,,,,,,07070,0.00%
,,,,,,07071,0.00%
,,,,,,07072,0.00%
,,,,,,07073,0.00%
,,,,,,07074,0.00%
,,,,,,07075,0.00%
,,,,,,07076,0.00%
,,,,,,07077,0.00%
,,,,,,07078,0.00%
,,,,,,07079,0.00%
,,,,,,07080,0.00%
,,,,,,07081,0.00%
,,,,,,07082,0.00%
,,,,,,07083,0.00%
,,,,,,07086,0.00%
,,,,,,07087,0.00%
,,,,,,07088,0.00%
,,,,,,07090,0.00%
,,,,,,07092,0.00%
,,,,,,07093,0.00%
,,,,,,07094,0.00%
,,,,,,07095,0.00%
,,,,,,07102,1.00%
,,,,,,07103,1.00%
,,,,,,07104,1.00%
,,,,,,07105,1.00%
,,,,,,07106,1.00%
,,,,,,07107,1.00%
,,,,,,07108,1.00%
,,,,,,07109,0.00%
,,,,,,07110,0.00%
,,,,,,07111,0.00%
,,,,,,07112,1.00%
,,,,,,07114,1.00%
,,,,,,07201,0.00%
,,,,,,07202,0.00%
,,,,,,07203,0.00%
,,,,,,07204,0.00%
,,,,,,07205,0.00%
,,,,,,07206,0.00%
,,,,,,07208,0.00%
,,,,,,07302,0.00%
,,,,,,07304,0.00%
,,,,,,07305,0.00%
,,,,,,07306,0.00%
,,,,,,07307,0.00%
,,,,,,07310,0.00%
,,,,,,07401,0.00%
,,,,,,07403,0.00%
,,,,,,07405,0.00%
,,,,,,07407,0.00%
,,,,,,07410,0.00%
,,,,,,07417,0.00%
,,,,,,07420,0.00%
,,,,,,07423,0.00%
,,,,,,07424,0.00%
,,,,,,07430,0.00%
,,,,,,07432,0.00%
,,,,,,07436,0.00%
,,,,,,07438,0.00%
,,,,,,07440,0.00%
,,,,,,07442,0.00%
,,,,,,07444,0.00%
,,,,,,07446,0.00%
,,,,,,07450,0.00%
,,,,,,07452,0.00%
,,,,,,07456,0.00%
,,,,,,07457,0.00%
,,,,,,07458,0.00%
,,,,,,07463,0.00%
,,,,,,07465,0.00%
,,,,,,07470,0.00%
,,,,,,07481,0.00%
,,,,,,07501,0.00%
,,,,,,07502,0.00%
,,,,,,07503,0.00%
,,,,,,07504,0.00%
,,,,,,07506,0.00%
,,,,,,07508,0.00%
,,,,,,07512,0.00%
,,,,,,07513,0.00%
,,,,,,07514,0.00%
,,,,,,07522,0.00%
,,,,,,07524,0.00%
,,,,,,07601,0.00%
,,,,,,07603,0.00%
,,,,,,07604,0.00%
,,,,,,07605,0.00%
,,,,,,07606,0.00%
,,,,,,07607,0.00%
,,,,,,07620,0.00%
,,,,,,07621,0.00%
,,,,,,07624,0.00%
,,,,,,07626,0.00%
,,,,,,07627,0.00%
,,,,,,07628,0.00%
,,,,,,07630,0.00%
,,,,,,07631,0.00%
,,,,,,07632,0.00%
,,,,,,07640,0.00%
,,,,,,07641,0.00%
,,,,,,07642,0.00%
,,,,,,07643,0.00%
,,,,,,07644,0.00%
,,,,,,07645,0.00%
,,,,,,07646,0.00%
,,,,,,07647,0.00%
,,,,,,07648,0.00%
,,,,,,07649,0.00%
,,,,,,07650,0.00%
,,,,,,07652,0.00%
,,,,,,07656,0.00%
,,,,,,07657,0.00%
,,,,,,07660,0.00%
,,,,,,07661,0.00%
,,,,,,07662,0.00%
,,,,,,07663,0.00%
,,,,,,07666,0.00%
,,,,,,07670,0.00%
,,,,,,07675,0.00%
,,,,,,07676,0.00%
,,,,,,07677,0.00%
,,,,,,07701,0.00%
,,,,,,07702,0.00%
,,,,,,07704,0.00%
,,,,,,07711,0.00%
,,,,,,07712,0.00%
,,,,,,07716,0.00%
,,,,,,07717,0.00%
,,,,,,07718,0.00%
,,,,,,07719,0.00%
,,,,,,07720,0.00%
,,,,,,07721,0.00%
